table|_field|_measurement|_start|_stop|_target|_time|_value
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-04T17:00:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-04T17:30:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-04T18:00:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-04T18:30:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-04T19:00:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-04T19:30:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-04T20:00:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-04T20:30:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-04T21:00:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-04T21:30:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-04T22:00:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-04T22:30:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-04T23:00:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-04T23:30:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-05T00:00:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-05T00:30:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-05T01:00:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-05T01:30:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-05T02:00:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-05T02:30:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-05T03:00:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-05T03:30:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-05T04:00:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-05T04:30:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-05T05:00:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-05T05:30:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-05T06:00:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-05T06:30:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-05T07:00:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-05T07:30:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-05T08:00:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-05T08:30:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-05T09:00:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-05T09:30:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-05T10:00:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-05T10:30:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-05T11:00:00+00:00|None
