table|_time|_value
0|2023-04-16T01:24:05.323732+00:00|157.64
0|2023-04-16T01:24:35.325499+00:00|157.84
0|2023-04-16T01:25:05.329482+00:00|158.39
0|2023-04-16T01:25:35.333209+00:00|158.32
0|2023-04-16T01:26:05.337118+00:00|160.43
0|2023-04-16T01:26:35.340471+00:00|160.16
0|2023-04-16T01:26:39.251551+00:00|169.57
0|2023-04-16T01:27:05.347015+00:00|172.75
0|2023-04-16T01:27:35.349312+00:00|172.88
0|2023-04-16T01:28:05.354017+00:00|169.81
0|2023-04-16T01:28:35.358672+00:00|166.77
0|2023-04-16T01:29:05.362192+00:00|165.28
0|2023-04-16T01:29:35.366455+00:00|164.92
0|2023-04-16T01:30:05.367866+00:00|167.01
0|2023-04-16T01:30:16.244114+00:00|157.41
0|2023-04-16T01:30:35.373379+00:00|158.92
0|2023-04-16T01:31:05.375605+00:00|160.56
0|2023-04-16T01:31:35.380299+00:00|159.67
0|2023-04-16T01:32:05.383184+00:00|157.55
0|2023-04-16T01:32:35.388089+00:00|158.22
0|2023-04-16T01:33:05.390782+00:00|158.05
0|2023-04-16T01:33:35.396448+00:00|159.23
0|2023-04-16T01:34:05.400218+00:00|159.42
0|2023-04-16T01:34:35.403082+00:00|160.75
0|2023-04-16T01:35:05.408054+00:00|161.45
0|2023-04-16T01:35:35.410083+00:00|159.17
0|2023-04-16T01:36:05.414294+00:00|159.92
0|2023-04-16T01:36:35.417559+00:00|158.56
0|2023-04-16T01:37:05.423055+00:00|159.91
0|2023-04-16T01:37:35.425206+00:00|159.67
0|2023-04-16T01:37:58.225384+00:00|165.95
0|2023-04-16T01:38:05.430550+00:00|164.47
0|2023-04-16T01:38:35.432643+00:00|164.35
0|2023-04-16T01:39:05.438381+00:00|162.51
